category,difficulty,question,correctAnswer,incorrect1,incorrect2,incorrect3
The Arts,Medium,"Name the movie that matches the following plot summary: 'A laid back man is sentenced to two years in a rural prison\, but refuses to conform.'",Cool Hand Luke,The Silence of the Lambs,Untouchable,Jurassic Park
The Arts,Medium,"In Star Wars\, who is Luke Skywalker's father?",Darth Vader,Obi-Wan Kenobi,Han Solo,Yoda
The Arts,Medium,In which iconic '90s film did Tom Cruise play the role of Ethan Hunt?,Mission: Impossible,Top Gun,Jerry Maguire,The Firm
The Arts,Medium,Name the movie that matches the following plot summary: 'A wheelchair-bound photographer spies on his neighbors from his apartment.',Rear Window,Fight Club,All About Eve,The Dark Knight
The Arts,Medium,What was the name of the iconic '90s film where Julia Roberts plays a prostitute who is hired by a wealthy entrepreneur?,Pretty Woman,Runaway Bride,My Best Friends Wedding,Maid in Manhattan
The Arts,Medium,Name the movie that matches the following plot summary: 'Violence and mayhem ensue after a man stumbles upon more than two million dollars.',No Country for Old Men,Hacksaw Ridge,Pulp Fiction,Aliens
The Arts,Medium,What is the name of the character played by Courtney Cox on the show 'Friends'?,Monica Geller,Rachel Green,Phoebe Buffay,Janice Hosenstein
The Arts,Medium,Pulp Fiction was released in which year?,1994,1986,1990,1998
The Arts,Medium,Which actor made his debut in the lesser-known film 'The Curse of the Living Corpse' before achieving fame with 'Jaws' and 'All that Jazz'?,Roy Scheider,Harrison Ford,Robert De Niro,Jack Nicholson
The Arts,Medium,Name the movie that matches the following plot summary: 'A hacker discovers the life he knows is the elaborate deception of an evil cyber-intelligence.',The Matrix,Terminator,Seven,Age of Ultron
The Arts,Medium,Which actor played the role of Rick Blaine in 'Casablanca'?,Humphrey Bogart,John Travolta,Peter OToole,Gregory Peck
The Arts,Medium,Reservoir Dogs was released in which year?,1992,1980,1984,1988
The Arts,Medium,Which actor starred in films including 'The Lord of the Rings' and 'The Matrix'?,Hugo Weaving,Tobey Maguire,Timothy Spall,Elijah Wood
The Arts,Medium,Name the movie that matches the following plot summary: 'The final secretary for Adolf Hitler tells of the Nazi dictator's final days.',Downfall,Platoon,The Red Mile,The Bunker
The Arts,Medium,What is the plot of the movie 'Aliens'?,A woman tries to warn anyone who will listen about the merciless space predators that attacked her.,24 hours in the lives of three young men the day after a violent riot.,The merciless rivalry between Formula One rivals James Hunt and Niki Lauda.,Explorers travel through a wormhole in space in an attempt to ensure humanitys survival.
The Arts,Medium,Which television show features the characters Jim Halpert and Pam Beesly?,The Office,Parks and Recreation,Brooklyn Nine-Nine,Friends
The Arts,Medium,Which wizard was portrayed by Christopher Lee in The Lord Of The Rings?,Saruman,Gandalf,Radagast,Merlin
The Arts,Medium,What Scary Movie Takes Place At The Overlook Hotel,The Shining,Halloween,Scream!,Friday the 13th
The Arts,Medium,What is the plot of the movie Mr. Smith Goes to Washington?,A naive youth leader is appointed to fill a vacancy in the U.S. Senate.,Two magicians in 1890s London engage in a battle to create the ultimate illusion.,A girl wanders into a world ruled by gods,witches
The Arts,Medium,Which actor played the role of T'Challa in the Marvel Cinematic Universe?,Chadwick Boseman,Clark Gregg,Robert Downey Jr.,Benedict Wong
The Arts,Medium,Which actor has starred in both The King's Speech and Shakespeare in Love?,Colin Firth,Sean Penn,Billy Bob Thornton,Jean-Claude Van Damme
The Arts,Medium,Which actress played the role of Dorothy Gale in The Wizard of Oz?,Judy Garland,Anne Bancroft,Olivia Newton-John,Vivien Leigh
The Arts,Medium,Which actor played the role of Lucius Fox in Christopher Nolan's Batman trilogy?,Morgan Freeman,Christopher Lee,Liam Neeson,Arnold Schwarzenegger
The Arts,Medium,In Which Series Of Films Did Robert Englund Star As Freddy Krueger?,A Nightmare On Elm Street,Halloween,It,Scream
The Arts,Medium,Name the movie that matches the following plot summary: 'A Polish Jew struggles to survive the destruction of the Warsaw ghetto of World War II.',The Pianist,Unforgiven,Gandhi,The Terminator
The Arts,Medium,Who played the role of James Bond in Dr. No?,Sean Connery,George Lazenby,Roger Moore,Timothy Dalton
The Arts,Medium,"Name the movie that matches the following plot summary: 'When a heist goes wrong\, the surviving criminals suspect that one of them is a police informant.'",Reservoir Dogs,Saving Private Ryan,The Green Mile,Gran Torino
The Arts,Medium,Tessa Thompson plays the role of which character in the Marvel Cinematic Universe?,Valkyrie,Jane Foster,Agent Peggy Carter,Thena
The Arts,Medium,Who won the 1974 Academy Award for Best Supporting Actor for playing the role of Vito Corleone in The Godfather Part II?,Robert De Niro,Fred Astaire,Jeff Bridges,Michael V. Gazzo
The Arts,Medium,Which actor plays the role of Bucky Barnes in the Marvel Cinematic Universe?,Sebastian Stan,Stellan Skarsgård,John Slattery,Jeff Goldblum
The Arts,Medium,In the movie 'Interview With the Vampire' who played the vampire being interviewed?,Brad Pitt,Nicholas Cage,John Travolta,Edward Norton
The Arts,Medium,"Which children's TV character has friends called Muck\, Lofty\, and Scoop?",Bob the Builder,Thomas the Tank Engine,Spongebob Squarepants,Scooby-Doo
The Arts,Medium,"Name the movie that matches the following plot summary: 'After awakening from a coma\, a former assassin wreaks vengeance on those who betrayed her.'",Kill Bill Volume 1,Assasination,Unforgiven,Society of Death
The Arts,Medium,What was Brett's last supper in the film 'Pulp Fiction'?,Big Kahuna burger ,Lobster Tail,Steak,KFC Family Bucket
The Arts,Medium,Which actor's credits included 'Happy Days' and 'Mork & Mindy'?,Robin Williams,Eddie Murphy,Jim Carrey,Will Ferrell
General Knowledge,Medium,"As of 2023\, what is the most used web browser?",Google Chrome,Mozilla Firefox,Microsoft Edge,Safari
General Knowledge,Medium,Which word is defined as 'language that is meaningless'?,Gobbledygook,Gerbunctious,Lackadaisical,Hocus
General Knowledge,Medium,What is the geological term meaning 'to wear away'?,Erode,Erupt,Elevate,Emanate
General Knowledge,Medium,What is the idiom used to describe a situation where there is little difference between two options or choices?,"Six of one\, half dozen of another",A penny for your thoughts,A bird in the hand is worth two in the bush,Dont put all your eggs in one basket
General Knowledge,Medium,Which popular games console was released by Nintendo in 1998?,Game Boy,Atari 2600,Sega Genesis,PlayStation
General Knowledge,Medium,"According To The Christmas Song\, How Many Drummers Drumming Were There?",12,11,10,9
General Knowledge,Medium,What word is used in the NATO Phonetic Alphabet for the letter K?,Kilo,Kilimanjaro,Kuwait,King
General Knowledge,Medium,What is the word for an auxiliary building near the main one?,Annex,Appendix,Addendum,Supplement
General Knowledge,Medium,Which is the only US state whose official song was written for a Broadway musical?,Oklahoma,Texas,California,New York
General Knowledge,Medium,What is the name given to a heat wave that occurs in autumn?,Indian summer,Mercury summer,Roman summer,Alaska summer
General Knowledge,Medium,Which iconic sports car designed by Carroll Shelby was produced during the 1960s?,Cobra,Mustang,Charger,Thunderbird
General Knowledge,Medium,"In French anatomy\, what does 'La langue' refer to?",The tongue,The skin,The brain,The heart
General Knowledge,Medium,"In the nursery rhyme\, what animal belonged to a girl named Mary?",A Lamb,A Puppy,A Fish,A Swan
General Knowledge,Medium,What does it mean when someone says that 'it\'s growing on you'?,It's becoming more enjoyable as time goes on,Its getting too big,Its going bad quickly,Its losing its flavor
General Knowledge,Medium,What does the 4-letter abbreviation RSVP stand for?,Répondez S'il Vous Plaît,Rester Sans Vôtre Poisson,Respond Soon Via Phone,Request Some Vacation Plans
General Knowledge,Medium,"What is the term for the art or study of using language to persuade\, which comes from the Greek word for 'orator'?",Rhetoric,Didactic,Syntax,Semantics
General Knowledge,Medium,What word is used in the NATO Phonetic Alphabet for the letter L?,Lima,Lame,Loan,Love
General Knowledge,Medium,What does 'DMZ' stand for?,De Militarized Zone,Definite Multivariate Zone,Deregulated Monetary Zone,Decompression Minimum Zone
General Knowledge,Medium,What is a female goat called?,A Nanny,A Billy,A Gertie,A Hattie
General Knowledge,Medium,What was the name of the space shuttle that exploded?,Challenger,Champion,Titan,Apollo
General Knowledge,Medium,What is the Spanish word for 'reddish-brown' that signifies a cigar class?,Colorado,Blanco,Negro,Verde
General Knowledge,Medium,What is the basic unit of currency for Equatorial Guinea?,Franc,Peso,Dollar,Gira
General Knowledge,Medium,What is a male which known as?,Warlock,Mage,Magus,Magician
General Knowledge,Medium,What word is used in the NATO Phonetic Alphabet for the letter N?,November,Naughty,North,Neat
General Knowledge,Medium,Who was the first English monarch to have a Christmas tree?,Queen Victoria,James VI,Elizabeth I,George II
General Knowledge,Medium,"What is the 3-letter order which\, when given by a patient\, calls for no chest compressions?",DNR,CPR,ALS,SOS
General Knowledge,Medium,Who was born with the name Cassius Clay?,Mohammed Ali,Bob Dylan,Woody Allen,Prince
General Knowledge,Medium,What is the value of the letter Q in Scrabble?,10,6,8,12
General Knowledge,Medium,What engineering achievement made it much easier to sail between the Atlantic and Pacific oceans?,The Panama Canal,The Golden Gate Bridge,The Bay Bridge,The Sacramento-San Joaquin Delta
General Knowledge,Medium,Which nation invented Paper?,China,England,France,Russia
General Knowledge,Medium,What is the plural of 'radius'?,Radii,Radies,Radiusses,Radiants
General Knowledge,Medium,What is the term for the backward momentum that a person feels after firing a gun?,Recoil,Muzzle flash,Backfire,Forward thrust
General Knowledge,Medium,What chemical element gets is name from the greek word meaning 'stranger'?,Xenon,Halogen,Neon,Radon
General Knowledge,Medium,What is an Icelandic epic called?,Saga,Chronicle,Yerlig,Jordun
General Knowledge,Medium,Where did the famous witch trials of New England take place?,Salem,Greensboro,Alexandria,Wilmington
General Knowledge,Medium,What type of word indicates an action?,Verb,Adjective,Noun,Preposition
General Knowledge,Medium,What is the French term for a killing stroke delivered as a merciful act?,Coup de grâce,Tête à tête,Entente cordiale,Merci beaucoup
General Knowledge,Medium,The first Live Aid was to benefit which starving country?,Ethiopia,Somalia,Eritrea,Uganda
General Knowledge,Medium,Which word is defined as 'copious but meaningless talk or writing'?,Argle-bargle,Quomodocunquizing,Valetudinarian,Agastopia
General Knowledge,Medium,What word is used in the NATO Phonetic Alphabet for the letter Q?,Quebec,Queen,Qualify,Qwerty
General Knowledge,Medium,Which German dog breed features short legs and a long body?,Dachshund,German Shepherd,Doberman Pinscher,Rottweiler
General Knowledge,Medium,"What term\, which refers to the selection of performers for a film\, is also used to describe the process of fishermen catching fish?",Casting,Fishing,Baiting,Trolling
General Knowledge,Medium,What is a barometer used to measure?,Atmospheric Pressure,Humidity,Room Temperature,Salt in sea water
General Knowledge,Medium,"What is the name of the cotton fabric\, named for a city in India\, made from unbleached\, and often not fully processed cotton?",Calico,Corduroy,Chiffon,Cashmere
General Knowledge,Medium,Which word is defined as 'a bad-tempered person'?,Curmudgeon,Bumfuzzle,Borborygmus,Deipnophobia
Geography,Medium,Name the desert located in South East California.,Mojave,Sonoran,Arizonan,Baja
Geography,Medium,Which country administers Martinique?,France,Portugal,The USA,Australia
Geography,Medium,The country of Cape Verde is on which continent?,Africa,South America,Oceania,Europe
Geography,Medium,What is the name of the second-largest country in Africa by area?,Democratic Republic of the Congo,Nigeria,Ethiopia,Egypt
Geography,Medium,What is the second largest continent in the world?,Africa,Asia,North America,Europe
Geography,Medium,Which of these countries borders North Korea?,People's Republic of China,Japan,Mongolia,Philippines
Geography,Medium,What is the largest island in the Caribbean?,Cuba,Jamaica,Haiti,Dominican Republic
Geography,Medium,Where would you find the city of Minsk?,Belarus,Kyrgyzstan,Tajikistan,Ukraine
Geography,Medium,Which river is joined by the Atbarah River in northern Sudan as its last tributary?,The Nile,The Amazon,The Congo,The Zambezi
Geography,Medium,With what country is Fidel Castro associated?,Cuba,Brazil,France,Mexico
Geography,Medium,Which of these cities is in Moldova?,Chisinau,Vienna,Cologne,Geneva
Geography,Medium,Which country's flag can be described as 'Blue with a red cross outlined in white extending to the edges.'?,Iceland,France,Uruguay,Luxembourg
Geography,Medium,What German region is renowned for its spas and cuckoo clocks?,Black Forest,Blue Mountains,Emerald Valley,Yellow River
Geography,Medium,Lviv is a city in which country?,Ukraine,Azerbaijan,Pakistan,Kazakhstan
Geography,Medium,Which of these cities is in Slovenia?,Ljubljana,Prague,Leipzig,Berlin
Geography,Medium,Vienna is the capital city of which country?,Austria,Lithuania,Denmark,Czechia
Geography,Medium,In which country would you find the Giant's Causeway?,Northern Ireland,Greece,New Zealand,Vietnam
Geography,Medium,Which of these cities is in Nigeria?,Lagos,Casablanca,Khartoum,Luanda
Geography,Medium,Which of these countries has red on its flag?,Chile,Guatemala,Estonia,India
Geography,Medium,What is the capital of Hungary? ,Budapest,Pécs,Prague,Salzburg
Geography,Medium,Which country's flag can be described as 'Three equal vertical bands of green white and orange'?,Ireland,New Zealand,North Macedonia,China
Geography,Medium,Which of these countries has yellow on its flag?,Spain,Latvia,Syria,Bangladesh
Geography,Medium,The country of The Gambia is on which continent?,Africa,South America,Oceania,Europe
Geography,Medium,In which country would you find the island of Bali?,Indonesia,Turkey,Saudi Arabia,Thailand
Geography,Medium,Which of these countries has red on its flag?,Mexico,Ukraine,Estonia,Brazil
Geography,Medium,In which country would you find Uluru?,Australia,India,South Africa,Mexico
Geography,Medium,What is the name used for any half of the globe?,Hemisphere,Equator,Pangaea,Continent
Geography,Medium,Which is the smallest state in the USA? ,Rhode Island ,Hawaii,Maine,Vermont
Geography,Medium,What is the other name for the Côte d'Azur in France?,The Riviera,The Alps,The Mediterranean,Champagne
Geography,Medium,What body of water borders Saudi Arabia to the east?,Persian gulf,Suez Canal,Mediterranean Sea,The Nile
Geography,Medium,What is the capital of Colorado? ,Denver,Chicago,Philadelphia,San Francisco
Geography,Medium,What was Sri Lanka previously known as?,Ceylon ,Kipur,East Pakistan,Mirar
Geography,Medium,What does the flag of Vietnam look like?,Red with a yellow star in the center.,Blue with a yellow cross extending to the edges.,White with a large red disk in the center.,Three equal vertical bands of blue gold and red.
Geography,Medium,Which of these cities is in Jordan?,Amman,Kuwait City,Antalya,Cairo
Geography,Medium,The country of Kiribati is on which continent?,Oceania,South America,Europe,Asia
Geography,Medium,In which body of water is Christmas Island?,Indian Ocean,Pacific Ocean,Atlantic Ocean,Mediterranean Sea
Geography,Medium,The southernmost point in the 48 mainland American states?,Key West,Key North,East Key,South Key
Geography,Medium,Where would you find the city of Karachi?,Pakistan,Ukraine,Tajikistan,Belarus
Geography,Medium,Which country has the most coastline?,Canada,United States of America,Russia,Indonesia
Geography,Medium,Which of these cities is in Belgium?,Antwerp,Rome,Paris,Oslo
Geography,Medium,Which of these countries has blue on its flag?,Australia,Iran,Syria,Mexico
Geography,Medium,What is the second highest mountain in Africa?,Mount Kenya,Mount Uganda,Mount Nigeria,Mount Egypt
Geography,Medium,Havana is the capital city of which country?,Cuba,Israel,Turkey,Brazil
Geography,Medium,"Which country's flag fits the description of 'Green\, with large white script and a sword'?",Saudi Arabia,Kazakhstan,Liberia,Iceland
Geography,Medium,Which Gulf Lies Between Iran And Saudi Arabia?,Persian Gulf ,Saudi Gulf,Gulf of Yemen,Tehran Gulf
Geography,Medium,Where would you find the city of Kingston?,Jamaica,Chile,Brazil,Paraguay
Geography,Medium,What is the smallest Canadian province?,Prince Edward Island,Quebec,Northwest Territories,Alberta
Geography,Medium,What mountain range separates Europe from Asia?,Ural,Pyrenees,Alps,Carpathian
Geography,Medium,Which of these countries borders Finland?,Norway,Estonia,Latvia,Lithuania
Geography,Medium,What is the capital city of Vietnam?,Hanoi,Ho Chi Minh City,Da Nang,Hue
Geography,Medium,Which of these cities is in Morocco?,Rabat,Lagos,Kinshasa,Douala
Geography,Medium,Which surrounding body of water is represented by the blue triangle on the flag of the Solomon Islands?,The Pacific Ocean,The Atlantic Ocean,The Indian Ocean,The Caribbean Sea
Geography,Medium,What major river cuts through the Grand Canyon?,Colorado,Mississippi,Amazon,Hudson
Geography,Medium,Myanmar was known as _____________ until 1989.,Burma,Cambodia,Laos,Meenmar
Geography,Medium,Which of these cities is in Czech Republic?,Prague,Oslo,Berlin,Stockholm
Geography,Medium,Which of these countries borders Denmark?,Germany,Ireland,Kingdom of the Netherlands,Belgium
Geography,Medium,What is a piece of shallow saltwater seperated from the deeper sea by coral or sand called?,A Lagoon ,A Lake,An Atoll,An Archipelago
Geography,Medium,In which country is Lake Taupo?,New Zealand,Australia,Indonesia,Philippines
Geography,Medium,Which island nation has been called the 'teardrop of India' due to its location and shape?,Sri Lanka,Madagascar,Belize,Fiji
Geography,Medium,The country of Mauritius is on which continent?,Africa,South America,Oceania,Europe
Geography,Medium,What is the name of the European mountain range whose glaciers formed lakes like Como and Constance?,The Alps,The Pyrenees,The Urals,The Himalayas
Geography,Medium,What country are the Azores islands a part of?,Portugal,Brazil,The Philippines,Greece
Geography,Medium,In which country is the city of Kharkiv?,Ukraine,Kyrgyzstan,Tajikistan,Belarus
Geography,Medium,"What ancient metropolis was built on seven hills\, including Viminal and Aventine?",Rome,Athens,Jerusalem,Istanbul
Geography,Medium,What is the name of the famous museum in Paris which features The Mona Lisa?,The Louvre,The Hermitage,The Prado,The Uffizi
Geography,Medium,Which California city was a whaling port in the mid-1800s and is located 12 miles north of Mexico?,San Diego,San Francisco,Los Angeles,Sacramento
Geography,Medium,The country of Antigua and Barbuda is on which continent?,North America,South America,Oceania,Europe
Geography,Medium,Which of these countries has white on its flag?,South Korea,China,Cameroon,Germany
Geography,Medium,What is the world's largest sea?,Philippine,Mediterranean,Arabian,Caribbean
Geography,Medium,Which capital city stands on the Potomac River?,Washington D.C. ,Budapest,Freetown,New Delhi
Geography,Medium,In which country would you find the UNESCO World Heritage site of Mont Saint Michel?,France,Belgium,Argentina,Israel
Geography,Medium,What river has the largest drainage basin?,The Amazon,The Nile,The Danube,The Congo
Geography,Medium,In which country is the city of Wellington?,New Zealand,Canada,United States,United Kingdom
Geography,Medium,Where Is The Glenveagh National Park?,Ireland ,Canada,New Zealand,Australia
Geography,Medium,The country of Liechtenstein is on which continent?,Europe,South America,Oceania,Asia
Geography,Medium,Which of these cities is in Taiwan?,Taichung,Wellington,Busan,Kuala Lumpur
Geography,Medium,Which country's flag fits the description of 'Five equal horizontal bands of red alternating with white. A blue triangle on the left containing a white star'?,Puerto Rico,Sweden,Sri Lanka,Iceland
Geography,Medium,Which country altered it's timezone in order to be the first to see in the year 2000?,Tonga,The USA,New Zealand,North Korea
Geography,Medium,Which of these countries has blue on its flag?,Croatia,Turkey,Senegal,Ireland
Geography,Medium,What is the name of China's tallest skyscraper?,Shanghai Tower,Petronas Towers,Taipei 101,Burj Khalifa
Geography,Medium,Where Is The Veldt?,South Africa ,Belgium,Canada,Australia
Geography,Medium,Which Chinese special administrative region is located on the other side of the Pearl River estuary from Macau?,Hong Kong,Taiwan,Shanghai,Beijing
Geography,Medium,Which of these countries borders Spain?,France,Monaco,Algeria,Belgium
Geography,Medium,Abu Dhabi is the capital city of which country?,United Arab Emirates,Turkey,Saudi Arabia,Pakistan
Geography,Medium,What volcano showers ash on Sicily?,Etna,Merapi,Fuji,St Helens
Geography,Medium,Hanoi is the capital city of which country?,Vietnam,Slovenia,Guatemala,Nepal
Geography,Medium,What's the capital of Luxembourg?,Luxembourg,Veduz,Brest,Bruges
Geography,Medium,Which of these cities is in Russia?,Kazan,Düsseldorf,Cologne,Vienna
Geography,Medium,"Which country is home to the cities of Taranto\, Anzio\, and Padua?",Italy,Spain,Portugal,Greece
Geography,Medium,What Nationality Was Vasco Da Gama?,Portugese ,English,French,Italian
